page,id,title,url,path,header_image_url,annotation_count,pyongs_count,primaryartist_id,primaryartist_name,primaryartist_url,primaryartist_imageurl
65,670091,Mural,https://genius.com/Lupe-fiasco-mural-lyrics,/Lupe-fiasco-mural-lyrics,https://images.genius.com/1a7f3f4969064ab39741b2f0bce0af3c.1000x1000x1.jpg,202,317,147,Lupe Fiasco,https://genius.com/artists/Lupe-fiasco,https://images.genius.com/b67b7f5bfbd7eb8c5c334fa8b05a2432.400x400x1.jpg
65,61970,The Fall,https://genius.com/The-weeknd-the-fall-lyrics,/The-weeknd-the-fall-lyrics,https://images.rapgenius.com/dncafws9usq8zvqlzr3k1fwby.1000x1000x1.jpg,13,53,2358,The Weeknd,https://genius.com/artists/The-weeknd,https://images.genius.com/3cd68c66d12d757c908ddbdcefb581e8.441x441x1.jpg
65,2413891,"Yeah, I Said It",https://genius.com/Rihanna-yeah-i-said-it-lyrics,/Rihanna-yeah-i-said-it-lyrics,https://images.genius.com/ba1fc59bc686c2445dab584868d103bf.1000x1000x1.jpg,6,42,89,Rihanna,https://genius.com/artists/Rihanna,https://images.genius.com/6c0a5c21157bafe0dcab934f107020a1.960x960x1.jpg
65,103311,Quand je partirai,https://genius.com/La-fouine-quand-je-partirai-lyrics,/La-fouine-quand-je-partirai-lyrics,https://images.genius.com/e42ecc0c01ff954d9588d63ae1415ab3.575x575x1.jpg,42,14,1303,La Fouine,https://genius.com/artists/La-fouine,https://images.genius.com/733d0b8fbe27446ae89d59256acc9e45.439x439x1.jpg
65,2849772,​sweet sweet,https://genius.com/Travis-scott-sweet-sweet-lyrics,/Travis-scott-sweet-sweet-lyrics,https://images.genius.com/c9c8a92af16b73c835c2731f75294a82.1000x1000x1.jpg,11,81,20185,Travis Scott,https://genius.com/artists/Travis-scott,https://images.genius.com/62d241389823ea14f6a4612f37e29db8.1000x1000x1.jpg
65,2408611,Wicked,https://genius.com/Future-wicked-lyrics,/Future-wicked-lyrics,https://images.genius.com/ec698cda4f9c3539728583373a72b3c6.500x500x1.jpg,26,54,2197,Future,https://genius.com/artists/Future,https://images.genius.com/d3c864e3e8edaccf25a66ba49790f4d0.300x300x1.jpg
65,581,Fireworks,https://genius.com/Drake-fireworks-lyrics,/Drake-fireworks-lyrics,https://images.genius.com/f0994c69f0994bc6b307070ecb02d6cd.1000x1000x1.jpg,27,27,130,Drake,https://genius.com/artists/Drake,https://images.genius.com/22999a3378819809ee4848f7c60a744c.1000x1000x1.jpg
65,181655,La Familia,https://genius.com/Jay-z-la-familia-lyrics,/Jay-z-la-familia-lyrics,https://s3.amazonaws.com/rapgenius/MCHG_cover.jpg,25,18,2,JAY-Z,https://genius.com/artists/Jay-z,https://images.genius.com/bf0f68ee56f29c8542ad805c6419682b.676x676x1.jpg
66,3093500,Бургер (Burger),https://genius.com/Face-burger-lyrics,/Face-burger-lyrics,https://images.genius.com/0647949d22e340181d6fd16618aa1af4.960x960x1.jpg,12,16,988966,FACE,https://genius.com/artists/Face,https://images.genius.com/461dfade908b59767d4a680672550e56.570x570x1.jpg
66,3295235,Palace,https://genius.com/Sam-smith-palace-lyrics,/Sam-smith-palace-lyrics,https://images.genius.com/28874f305fb0e34ec0bc7333cfc2e12e.910x910x1.jpg,5,10,43383,Sam Smith,https://genius.com/artists/Sam-smith,https://images.genius.com/c9ce9032f369d402e814251982a1fe41.1000x1000x1.jpg
